Designator,Footprint,Quantity,Value,LCSC Part #
"C41, C42, C44",0603,3,0.1u,
"D10, D11, D12, D13, D14, D16, D19, D21",0603,8,IR_LED,
"D17, D18",0603,2,LED,
J11,Molex_200528-0080_1x08-0.5MP_P0.50mm_Horizontal,1,LINE_SENS,
J13,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,SIDE_SENSE_1,
J14,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,SIDE_SENSE_2,
"Q2, Q3, Q4, Q5, Q7, Q8",0805,6,TRMT,
"R34, R35, R36, R40, R45, R47",0603,6,6.2k,
"R37, R38",0603,2,2.7k,
"R41, R42",0603,2,680,
"R43, R44",0603,2,4.7k,
"U10, U9",S7136,2,S7136,
